iter	Passed	Remaining
0	5	5166
1	9	4552
2	12	4183
3	16	4198
4	20	4139
5	24	4054
6	28	3984
7	31	3917
8	35	3875
9	38	3845
10	42	3800
11	45	3786
12	49	3794
13	53	3772
14	57	3744
15	60	3736
16	64	3714
17	67	3688
18	71	3697
19	74	3673
20	78	3653
21	82	3649
22	85	3642
23	89	3647
24	93	3638
25	97	3649
26	101	3651
27	105	3651
28	108	3628
29	112	3629
30	115	3624
31	119	3611
32	123	3607
33	127	3611
34	130	3590
35	133	3561
36	136	3542
37	139	3527
38	142	3510
39	145	3499
40	148	3476
41	151	3454
42	154	3436
43	157	3421
44	161	3424
45	165	3422
46	167	3403
47	170	3387
48	173	3372
49	177	3376
50	180	3362
51	183	3345
52	186	3333
53	189	3323
54	194	3333
55	197	3332
56	200	3314
57	204	3319
58	207	3307
59	211	3316
60	214	3302
61	217	3289
62	220	3276
63	223	3264
64	228	3280
65	230	3267
66	233	3254
67	236	3240
68	239	3232
69	243	3234
70	246	3226
71	249	3218
72	252	3209
73	255	3198
74	259	3198
75	262	3187
76	265	3179
77	268	3171
78	271	3164
79	274	3160
80	277	3152
81	280	3142
82	284	3141
83	287	3132
84	290	3124
85	293	3119
86	296	3113
87	299	3108
88	302	3098
89	305	3088
90	308	3082
91	311	3075
92	315	3073
93	318	3067
94	321	3063
95	324	3059
96	327	3052
97	330	3044
98	334	3041
99	337	3034
100	340	3033
101	344	3031
102	347	3025
103	350	3018
104	353	3012
105	356	3004
106	360	3006
107	363	2999
108	366	2992
109	369	2985
110	371	2977
111	375	2976
112	378	2971
113	381	2964
114	384	2957
115	387	2950
116	390	2945
117	394	2945
118	397	2939
119	400	2934
120	404	2936
121	408	2942
122	411	2935
123	414	2931
124	418	2931
125	422	2930
126	426	2934
127	431	2939
128	435	2937
129	438	2933
130	442	2933
131	445	2930
132	448	2922
133	451	2914
134	453	2908
135	457	2908
136	460	2903
137	464	2900
138	467	2897
139	470	2892
140	474	2893
141	478	2893
142	485	2910
143	491	2924
144	496	2925
145	498	2918
146	502	2914
147	506	2916
148	509	2909
149	514	2914
150	517	2910
151	520	2905
152	524	2905
153	528	2902
154	531	2896
155	534	2891
156	537	2885
157	541	2884
158	544	2879
159	547	2874
160	550	2869
161	553	2865
162	557	2863
163	560	2858
164	563	2852
165	566	2847
166	569	2841
167	572	2837
168	576	2833
169	579	2828
170	582	2823
171	585	2819
172	589	2815
173	592	2811
174	595	2806
175	598	2802
176	601	2798
177	605	2794
178	608	2790
179	611	2785
180	614	2780
181	617	2776
182	621	2772
183	624	2769
184	627	2764
185	630	2758
186	634	2756
187	637	2751
188	640	2747
189	643	2743
190	646	2738
191	649	2734
192	652	2729
193	656	2727
194	659	2723
195	662	2718
196	666	2714
197	669	2713
198	673	2710
199	676	2705
200	679	2701
201	683	2699
202	686	2694
203	690	2693
204	693	2690
205	696	2685
206	700	2682
207	703	2679
208	707	2677
209	710	2672
210	713	2667
211	716	2663
212	719	2658
213	723	2656
214	726	2652
215	729	2647
216	732	2643
217	736	2640
218	740	2639
219	743	2635
220	746	2630
221	749	2625
222	752	2621
223	756	2620
224	759	2617
225	763	2613
226	766	2610
227	770	2608
228	774	2606
229	777	2602
230	780	2599
231	784	2596
232	788	2595
233	792	2592
234	795	2588
235	798	2584
236	801	2581
237	805	2578
238	808	2575
239	812	2572
240	816	2570
241	819	2567
242	822	2563
243	826	2561
244	829	2557
245	833	2554
246	836	2550
247	839	2546
248	843	2543
249	846	2540
250	850	2537
251	854	2534
252	857	2530
253	860	2526
254	863	2522
255	866	2518
256	870	2515
257	873	2510
258	876	2506
259	878	2501
260	881	2495
261	884	2490
262	887	2486
263	889	2481
264	892	2476
265	895	2471
266	898	2465
267	901	2461
268	903	2456
269	906	2451
270	909	2446
271	912	2443
272	915	2438
273	918	2433
274	920	2427
275	923	2422
276	926	2417
277	928	2412
278	931	2406
279	933	2401
280	936	2397
281	939	2392
282	942	2388
283	945	2384
284	948	2379
285	951	2374
286	953	2369
287	956	2365
288	960	2361
289	962	2356
290	965	2352
291	968	2348
292	970	2342
293	973	2338
294	976	2333
295	978	2328
296	981	2323
297	984	2319
298	987	2314
299	989	2309
300	992	2305
301	995	2300
302	997	2295
303	1000	2291
304	1003	2286
305	1006	2282
306	1009	2277
307	1011	2272
308	1014	2268
309	1017	2264
310	1020	2260
311	1022	2255
312	1025	2251
313	1028	2247
314	1031	2243
315	1034	2239
316	1037	2234
317	1039	2230
318	1042	2225
319	1045	2221
320	1048	2217
321	1051	2214
322	1054	2209
323	1056	2205
324	1060	2202
325	1062	2197
326	1065	2192
327	1068	2189
328	1071	2185
329	1074	2181
330	1077	2177
331	1079	2172
332	1082	2168
333	1085	2164
334	1088	2160
335	1091	2156
336	1094	2152
337	1097	2148
